model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,2wikimqa,0,f1,7070,28692,9.2384,0.4218,0.2836,0.9997,0.0066,0.4,1.0,1.0,37.8963,1.0,5.4109,0.4,3.412,0.4,6.9043,0.4,6.9043,C1,1.0,C1,C1,C1
llama31_8b,2wikimqa,1,f1,14710,62672,9.5357,0.3981,0.2328,0.9999,0.0057,1.0,1.0,1.0,40.2012,1.0,5.4192,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,2,f1,4009,17129,8.6992,0.4018,0.3173,0.9995,0.0109,0.0,1.0,0.0,21.4889,0.0,5.373,0.0,3.412,0.0,3.915,0.0,3.915,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,3,f1,6890,26490,8.6988,0.3843,0.2244,0.9997,0.008,0.666667,1.0,0.666667,36.9315,0.666667,5.4003,0.666667,3.412,0.666667,6.7285,0.666667,6.7285,C0,0.666667,C1,C1,C1
llama31_8b,2wikimqa,4,f1,7010,30077,9.1558,0.4025,0.2845,0.9997,0.0051,0.0,1.0,0.0,37.5747,0.0,5.3975,0.0,3.412,0.0,6.8457,0.0,6.8457,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,5,f1,14559,63474,9.451,0.3858,0.2337,0.9999,0.0045,1.0,1.0,1.0,40.2012,1.0,5.4066,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,6,f1,10916,48092,9.3894,0.403,0.2615,0.9998,0.0044,1.0,1.0,0.8,40.2012,1.0,5.4116,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama31_8b,2wikimqa,7,f1,6227,26363,8.9573,0.3937,0.2685,0.9997,0.0077,1.0,1.0,1.0,33.3777,1.0,5.4034,1.0,3.412,1.0,6.0811,1.0,6.0811,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,8,f1,5479,22599,9.1511,0.4226,0.3209,0.9996,0.0102,0.0,1.0,0.0,29.3683,0.0,5.3883,0.0,3.412,0.0,5.3506,0.0,5.3506,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,9,f1,8532,36479,9.5704,0.4232,0.3131,0.9998,0.0089,1.0,1.0,1.0,40.2012,1.0,5.4139,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,10,f1,6391,26415,9.4373,0.4482,0.3472,0.9997,0.0083,0.5,1.0,0.5,34.2568,0.5,5.4067,0.5,3.412,0.5,6.2412,0.5,6.2412,C0,0.5,C1,C1,C1
llama31_8b,2wikimqa,11,f1,6360,24808,9.2092,0.3527,0.2704,0.9996,0.0123,1.0,1.0,1.0,34.0906,1.0,5.3872,1.0,3.412,1.0,6.2109,1.0,6.2109,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,12,f1,3984,16191,9.0796,0.4612,0.3898,0.9994,0.0146,0.8,1.0,0.8,21.3549,0.8,5.3762,0.8,3.412,0.8,3.8906,0.8,3.8906,C0,0.8,C1,C1,C1
llama31_8b,2wikimqa,13,f1,13857,59643,9.3056,0.3694,0.2105,0.9998,0.005,0.0,1.0,0.0,40.2012,0.0,5.4111,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,14,f1,5994,22292,9.2193,0.4388,0.2995,0.9996,0.0082,0.5,1.0,0.5,32.1288,0.5,5.3831,0.5,3.412,0.5,5.8535,0.5,5.8535,C0,0.5,C1,C1,C1
llama31_8b,2wikimqa,15,f1,5071,20096,7.9043,0.3382,0.2041,0.9996,0.0043,0.0,1.0,0.0,27.1814,0.0,5.3754,0.0,3.412,0.0,4.9521,0.0,4.9521,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,16,f1,14271,61863,9.4106,0.3833,0.231,0.9999,0.0047,0.0,1.0,0.0,40.2012,0.0,5.4116,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,17,f1,5211,22652,9.2454,0.4276,0.3514,0.9996,0.0079,0.0,1.0,0.0,27.9318,0.0,5.3903,0.0,3.412,0.0,5.0889,0.0,5.0889,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,18,f1,5788,24101,9.2209,0.4376,0.343,0.9996,0.0093,1.0,1.0,0.666667,31.0246,1.0,5.3934,1.0,3.412,1.0,5.6523,1.0,5.6523,C0,1.0,C4,C4,C4
