model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,2wikimqa,0,qa_f1,7070,28692,9.2384,0.4218,0.2836,0.9997,0.0066,0.4,1.0,932446208.0,932446208.0,1.0,37.3053,24977408.0,931790848.0,1.0,4.6251,201465530.2,931790848.0,0.4,3.4003,274221600.0,932446208.0,0.4,6.8867,135397376.0,932446208.0,0.4,6.8867,135397376.0,932446208.0,C1,1.0,C1,C1,C1
llama31_8b,2wikimqa,1,qa_f1,14710,62672,9.5357,0.3981,0.2328,0.9999,0.0057,1.0,1.0,983826432.0,983826432.0,1.0,38.9796,25239552.0,983826432.0,1.0,4.6311,212441320.0,983826432.0,1.0,3.4043,288993280.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,2,qa_f1,4009,17129,8.6992,0.4018,0.3173,0.9995,0.0109,0.0,1.0,530317312.0,530317312.0,0.0,21.4571,24715264.0,530317312.0,0.0,4.5973,115353725.0,530317312.0,0.0,3.4063,155687968.0,530317312.0,0.0,3.9435,134479872.0,530317312.0,0.0,3.9435,134479872.0,530317312.0,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,3,qa_f1,6890,26490,8.6988,0.3843,0.2244,0.9997,0.008,0.666667,1.0,909246464.0,909246464.0,0.666667,34.9361,26025984.0,909246464.0,0.666667,4.6172,196925247.6,909246464.0,0.666667,3.3958,267752448.0,909246464.0,0.666667,6.6959,135790592.0,909246464.0,0.666667,6.6959,135790592.0,909246464.0,C0,0.666667,C1,C1,C1
llama31_8b,2wikimqa,4,qa_f1,7010,30077,9.1558,0.4025,0.2845,0.9997,0.0051,0.0,1.0,923926528.0,923926528.0,0.0,36.4327,25370624.0,924319744.0,0.0,4.6153,200187485.8,923926528.0,0.0,3.4053,271322592.0,923926528.0,0.0,6.857,134742016.0,923926528.0,0.0,6.857,134742016.0,923926528.0,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,5,qa_f1,14559,63474,9.451,0.3858,0.2337,0.9999,0.0045,1.0,1.0,983433216.0,983433216.0,1.0,39.5806,24846336.0,983433216.0,1.0,4.6219,212777839.2,983433216.0,1.0,3.4076,288600064.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,6,qa_f1,10916,48092,9.3894,0.403,0.2615,0.9998,0.0044,1.0,1.0,983564288.0,983564288.0,0.8,38.5891,25501696.0,984088576.0,1.0,4.6255,212637800.2,983564288.0,1.0,3.4065,288731136.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,C0,1.0,C4,C4,C4
llama31_8b,2wikimqa,7,qa_f1,6227,26363,8.9573,0.3937,0.2685,0.9997,0.0077,1.0,1.0,821035008.0,821035008.0,1.0,33.2198,24715264.0,821035008.0,1.0,4.6196,177729808.2,821035008.0,1.0,3.4087,240861472.0,821035008.0,1.0,6.1053,134479872.0,821035008.0,1.0,6.1053,134479872.0,821035008.0,C0,1.0,C1,C1,C1
llama31_8b,2wikimqa,8,qa_f1,5479,22599,9.1511,0.4226,0.3209,0.9996,0.0102,0.0,1.0,722993152.0,722993152.0,0.0,29.2529,24715264.0,722993152.0,0.0,4.6085,156882647.8,722993152.0,0.0,3.4066,212233376.0,722993152.0,0.0,5.3762,134479872.0,722993152.0,0.0,5.3762,134479872.0,722993152.0,C0,0.0,C1,C1,C1
llama31_8b,2wikimqa,9,qa_f1,8532,36479,9.5704,0.4232,0.3131,0.9998,0.0089,1.0,1.0,983826432.0,983826432.0,1.0,38.9796,25239552.0,983826432.0,1.0,4.6273,212615500.5,983826432.0,1.0,3.4043,288993280.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,C0,1.0,C1,C1,C1
