model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
phi3,2wikimqa,0,f1,8168,28692,9.0838,0.4218,0.2416,0.9997,0.0066,0.0,1.0,0.0,11.1727,0.0,5.8405,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,1,f1,17806,62672,9.2774,0.3981,0.1838,0.9999,0.0057,0.222222,1.0,0.222222,11.1727,0.222222,5.8301,0.222222,3.412,0.222222,6.8359,0.222222,6.8359,C0,0.222222,C1,C1,C1
phi3,2wikimqa,2,f1,4605,17129,8.5506,0.4018,0.2836,0.9995,0.0109,0.0,1.0,0.0,11.1727,0.0,5.8334,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,3,f1,8182,26490,8.3222,0.3843,0.1798,0.9997,0.008,0.363636,1.0,0.5,11.1727,0.5,5.8298,0.363636,3.412,0.5,6.8359,0.5,6.8359,C1,0.5,C1,C1,C1
phi3,2wikimqa,4,f1,7993,30077,9.0498,0.4025,0.246,0.9997,0.0051,0.0,1.0,0.0,11.1727,0.0,5.8414,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,5,f1,16853,63474,9.3287,0.3858,0.1916,0.9999,0.0045,0.0,1.0,0.0,11.1727,0.0,5.8245,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,6,f1,13035,48092,9.2182,0.403,0.2133,0.9998,0.0044,0.0,1.0,0.0,11.1727,0.0,5.8395,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,7,f1,7219,26363,8.8367,0.3937,0.2352,0.9997,0.0077,0.0,1.0,0.0,11.1727,0.0,5.8376,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,8,f1,6684,22599,8.8354,0.4226,0.2564,0.9996,0.0102,0.0,1.0,0.0,11.1727,0.0,5.8293,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,9,f1,10137,36479,9.4949,0.4232,0.2575,0.9998,0.0089,0.0,1.0,0.0,11.1727,0.0,5.8444,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,10,f1,7588,26415,9.3065,0.4482,0.2909,0.9997,0.0083,0.0,1.0,0.0,11.1727,0.0,5.8363,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,2wikimqa,11,f1,7733,24808,9.0608,0.3527,0.2211,0.9996,0.0123,1.0,1.0,1.0,11.1727,1.0,5.8383,1.0,3.412,1.0,6.8359,1.0,6.8359,C0,1.0,C1,C1,C1
