model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,2wikimqa,0,qa_f1,7070,28692,9.2384,0.4218,0.2836,0.9997,0.0066,0.0,1.0,929431552.0,929431552.0,0.0,36.4305,25501696.0,929038336.0,0.0,4.6189,201223569.5,929431552.0,0.0,3.3977,273548832.0,929431552.0,0.0,6.8008,136839168.0,930611200.0,0.0,6.8512,135659520.0,929431552.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,1,qa_f1,14710,62672,9.5357,0.3981,0.2328,0.9999,0.0057,0.0,1.0,983302144.0,983302144.0,0.0,39.7852,24715264.0,983302144.0,0.0,4.6246,212624476.5,983302144.0,0.0,3.4087,288468992.0,983302144.0,0.0,7.3119,134479872.0,983302144.0,0.0,7.3119,134479872.0,983302144.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,2,qa_f1,4009,17129,8.6992,0.4018,0.3173,0.9995,0.0109,0.0,1.0,527040512.0,527040512.0,0.0,21.3245,24715264.0,527040512.0,0.0,4.5884,114863566.2,527040512.0,0.0,3.4057,154753056.0,527040512.0,0.0,3.9191,134479872.0,527040512.0,0.0,3.9191,134479872.0,527040512.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,3,qa_f1,6890,26490,8.6988,0.3843,0.2244,0.9997,0.008,0.666667,1.0,905969664.0,905969664.0,0.666667,34.8102,26025984.0,905969664.0,0.666667,4.6154,196292721.9,905969664.0,0.666667,3.3971,266686464.0,905969664.0,0.666667,6.6718,135790592.0,905969664.0,0.666667,6.6718,135790592.0,905969664.0,C0,0.666667,C1,C1,C1
llama3,2wikimqa,4,qa_f1,7010,30077,9.1558,0.4025,0.2845,0.9997,0.0051,0.0,1.0,920649728.0,920649728.0,0.0,37.2396,24715264.0,920387584.0,0.0,4.6209,199235380.4,920649728.0,0.0,3.4066,270256608.0,920649728.0,0.0,6.8327,134742016.0,920649728.0,0.0,6.8441,134479872.0,920387584.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,5,qa_f1,14559,63474,9.451,0.3858,0.2337,0.9999,0.0045,1.0,1.0,983433216.0,983433216.0,1.0,39.5806,24846336.0,983433216.0,1.0,4.6225,212750931.1,983433216.0,1.0,3.4076,288600064.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,C0,1.0,C1,C1,C1
llama3,2wikimqa,6,qa_f1,10916,48092,9.3894,0.403,0.2615,0.9998,0.0044,1.0,1.0,983564288.0,983564288.0,1.0,39.3782,24977408.0,983564288.0,1.0,4.6277,212540581.8,983564288.0,1.0,3.4065,288731136.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,C0,1.0,C1,C1,C1
llama3,2wikimqa,7,qa_f1,6227,26363,8.9573,0.3937,0.2685,0.9997,0.0077,1.0,1.0,817758208.0,817758208.0,1.0,33.0872,24715264.0,817758208.0,1.0,4.6114,177332153.1,817758208.0,1.0,3.4084,239926560.0,817758208.0,1.0,6.0809,134479872.0,817758208.0,1.0,6.0809,134479872.0,817758208.0,C0,1.0,C1,C1,C1
llama3,2wikimqa,8,qa_f1,5479,22599,9.1511,0.4226,0.3209,0.9996,0.0102,0.0,1.0,719716352.0,719716352.0,0.0,29.1203,24715264.0,719716352.0,0.0,4.6023,156382090.9,719716352.0,0.0,3.4083,211167392.0,719716352.0,0.0,5.3519,134479872.0,719716352.0,0.0,5.3519,134479872.0,719716352.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,9,qa_f1,8532,36479,9.5704,0.4232,0.3131,0.9998,0.0089,1.0,1.0,983826432.0,983826432.0,1.0,38.9796,25239552.0,983826432.0,0.8,4.6246,212849205.6,984350720.0,1.0,3.4043,288993280.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,1.0,7.2874,135004160.0,983826432.0,C0,1.0,C1,C1,C1
llama3,2wikimqa,10,qa_f1,6391,26415,9.4373,0.4482,0.3472,0.9997,0.0083,1.0,1.0,839647232.0,839647232.0,1.0,33.4408,25108480.0,839647232.0,1.0,4.62,181742558.8,839647232.0,1.0,3.4033,246714816.0,839647232.0,1.0,6.2255,134873088.0,839647232.0,1.0,6.2255,134873088.0,839647232.0,C0,1.0,C1,C1,C1
llama3,2wikimqa,11,qa_f1,6360,24808,9.2092,0.3527,0.2704,0.9996,0.0123,0.857143,1.0,835846144.0,835846144.0,0.857143,32.9454,25370624.0,835846144.0,0.857143,4.6067,181439922.1,835846144.0,0.857143,3.4021,245686752.0,835846144.0,0.857143,6.1853,135135232.0,835846144.0,0.857143,6.1853,135135232.0,835846144.0,C0,0.857143,C1,C1,C1
llama3,2wikimqa,12,qa_f1,3984,16191,9.0796,0.4612,0.3898,0.9994,0.0146,0.0,1.0,524288000.0,524288000.0,0.0,20.7725,25239552.0,524288000.0,0.0,4.5893,114155612.8,523894784.0,0.0,3.3969,154342432.0,524288000.0,0.0,3.8835,135004160.0,524288000.0,0.0,3.8835,135004160.0,524288000.0,C0,0.0,C1,C1,C1
