model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama32_3b,2wikimqa,0,qa_f1,7070,28692,9.2384,0.4218,0.2836,0.9997,0.0066,0.0,1.0,816119808.0,816119808.0,0.0,37.458,21766144.0,815316992.0,0.0,4.6663,174897577.9,816119808.0,0.0,3.398,240173276.0,816119808.0,0.0,6.8359,119504896.0,816922624.0,0.0,6.8359,119504896.0,816922624.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,1,qa_f1,14710,62672,9.5357,0.3981,0.2328,0.9999,0.0057,1.0,1.0,860848128.0,860848128.0,1.0,39.1374,21995520.0,860848128.0,1.0,4.671,184295368.9,860848128.0,1.0,3.4043,252869120.0,860848128.0,1.0,7.2874,118128640.0,860848128.0,1.0,7.2874,118128640.0,860848128.0,C0,1.0,C1,C1,C1
llama32_3b,2wikimqa,2,qa_f1,4009,17129,8.6992,0.4018,0.3173,0.9995,0.0109,0.0,1.0,464027648.0,464027648.0,0.0,21.5458,21536768.0,464027648.0,0.0,4.6389,100029999.5,464027648.0,0.0,3.4063,136226972.0,464027648.0,0.0,3.9435,117669888.0,464027648.0,0.0,3.9435,117669888.0,464027648.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,3,qa_f1,6890,26490,8.6988,0.3843,0.2244,0.9997,0.008,0.181818,1.0,794787840.0,794787840.0,0.0,36.5096,21766144.0,794673152.0,0.181818,4.6554,170724777.2,794787840.0,0.181818,3.4041,233480576.0,794787840.0,0.181818,6.7347,118013952.0,794787840.0,0.181818,6.7347,118013952.0,794787840.0,C0,0.181818,C4,C4,C4
llama32_3b,2wikimqa,4,qa_f1,7010,30077,9.1558,0.4025,0.2845,0.9997,0.0051,0.0,1.0,808206336.0,808206336.0,0.0,37.5268,21536768.0,808206336.0,0.0,4.6544,173643441.2,808206336.0,0.0,3.4076,237177892.0,808206336.0,0.0,6.8684,117669888.0,808206336.0,0.0,6.8684,117669888.0,808206336.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,5,qa_f1,14559,63474,9.451,0.3858,0.2337,0.9999,0.0045,0.0,1.0,862453760.0,862453760.0,0.0,36.5429,23601152.0,862453760.0,0.0,4.6606,184955549.0,861995008.0,0.0,3.3892,254474752.0,862453760.0,0.0,7.2031,119734272.0,862453760.0,0.0,7.2031,119734272.0,862453760.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,6,qa_f1,10916,48092,9.3894,0.403,0.2615,0.9998,0.0044,1.0,1.0,860618752.0,860618752.0,0.0,39.5393,21766144.0,860618752.0,1.0,4.6641,184518990.0,860618752.0,1.0,3.4065,252639744.0,860618752.0,1.0,7.2996,117899264.0,860618752.0,1.0,7.2996,117899264.0,860618752.0,C0,1.0,C4,C4,C4
llama32_3b,2wikimqa,7,qa_f1,6227,26363,8.9573,0.3937,0.2685,0.9997,0.0077,0.0,1.0,718979072.0,718979072.0,0.0,33.1858,21651456.0,718520320.0,0.0,4.6615,154236824.6,718979072.0,0.0,3.4022,211327228.0,718979072.0,0.0,6.1003,117784576.0,718520320.0,0.0,6.0805,118243328.0,718979072.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,8,qa_f1,5479,22599,9.1511,0.4226,0.3209,0.9996,0.0102,0.0,1.0,632619008.0,632619008.0,0.0,29.3739,21536768.0,632619008.0,0.0,4.6476,136118128.9,632619008.0,0.0,3.4066,185704204.0,632619008.0,0.0,5.3762,117669888.0,632619008.0,0.0,5.3762,117669888.0,632619008.0,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,9,qa_f1,8532,36479,9.5704,0.4232,0.3131,0.9998,0.0089,1.0,1.0,860848128.0,860848128.0,1.0,39.1374,21995520.0,860848128.0,1.0,4.6679,184417019.0,860848128.0,1.0,3.4043,252869120.0,860848128.0,1.0,7.2874,118128640.0,860848128.0,1.0,7.2874,118128640.0,860848128.0,C0,1.0,C1,C1,C1
